PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22477563,10/3/19,10/10/19,312753,1/8/20 8:00,1/11/20 8:00
22476117,12/30/19,1/10/20,313347,4/9/20 8:00,4/12/20 8:00
22472901,1/6/20,1/17/20,313348,4/16/20 8:00,4/19/20 8:00
22474732,1/6/20,1/17/20,313349,4/16/20 8:00,4/19/20 8:00
22474735,1/6/20,1/17/20,313351,4/16/20 8:00,4/19/20 8:00
22474738,1/6/20,1/17/20,313352,4/16/20 8:00,4/19/20 8:00
22477576,1/6/20,1/17/20,313354,4/16/20 8:00,4/19/20 8:00
22472894,2/10/20,2/21/20,313355,5/21/20 8:00,5/24/20 8:00
22474730,2/10/20,2/21/20,313356,5/21/20 8:00,5/24/20 8:00
22474733,2/10/20,2/21/20,313357,5/21/20 8:00,5/24/20 8:00
22474739,2/10/20,2/21/20,313358,5/21/20 8:00,5/24/20 8:00
22477581,2/10/20,2/21/20,313359,5/21/20 8:00,5/24/20 8:00
22472895,3/16/20,3/27/20,313360,6/25/20 8:00,6/28/20 8:00
22474731,3/16/20,3/27/20,313361,6/25/20 8:00,6/28/20 8:00
22474734,3/16/20,3/27/20,313362,6/25/20 8:00,6/28/20 8:00
22474740,3/16/20,3/27/20,313363,6/25/20 8:00,6/28/20 8:00
22477582,3/16/20,3/27/20,313364,6/25/20 8:00,6/28/20 8:00
22466103,12/20/19,1/12/20,313365,4/11/20 8:00,4/14/20 8:00
22466173,12/20/19,1/12/20,313366,4/11/20 8:00,4/14/20 8:00
22466170,12/20/19,1/12/20,313343,4/11/20 8:00,4/14/20 8:00
22466172,12/20/19,1/12/20,313344,4/11/20 8:00,4/14/20 8:00
22466174,12/20/19,1/12/20,313445,4/11/20 8:00,4/14/20 8:00
22466176,12/20/19,1/12/20,313431,4/11/20 8:00,4/14/20 8:00
22466177,12/20/19,1/12/20,313430,4/11/20 8:00,4/14/20 8:00
22466179,12/20/19,1/12/20,313433,4/11/20 8:00,4/14/20 8:00
22466180,12/20/19,1/12/20,313459,4/11/20 8:00,4/14/20 8:00
22466182,12/20/19,1/12/20,313491,4/11/20 8:00,4/14/20 8:00
22466183,12/20/19,1/12/20,313472,4/11/20 8:00,4/14/20 8:00
22466184,12/20/19,1/12/20,313471,4/11/20 8:00,4/14/20 8:00
22466185,12/20/19,1/12/20,313435,4/11/20 8:00,4/14/20 8:00
22466186,12/20/19,1/12/20,313468,4/11/20 8:00,4/14/20 8:00
22466187,12/20/19,1/12/20,313470,4/11/20 8:00,4/14/20 8:00
22466188,12/20/19,1/12/20,313473,4/11/20 8:00,4/14/20 8:00
22466189,12/20/19,1/12/20,313475,4/11/20 8:00,4/14/20 8:00
22466192,12/20/19,1/12/20,313438,4/11/20 8:00,4/14/20 8:00
22466194,12/20/19,1/12/20,313441,4/11/20 8:00,4/14/20 8:00
22466195,12/20/19,1/12/20,313464,4/11/20 8:00,4/14/20 8:00
22466196,12/20/19,1/12/20,313469,4/11/20 8:00,4/14/20 8:00
22466197,12/20/19,1/12/20,313443,4/11/20 8:00,4/14/20 8:00
22466198,12/20/19,1/12/20,313437,4/11/20 8:00,4/14/20 8:00
22466199,12/20/19,1/12/20,313444,4/11/20 8:00,4/14/20 8:00
22466200,12/20/19,1/12/20,313460,4/11/20 8:00,4/14/20 8:00
22466201,12/20/19,1/12/20,313442,4/11/20 8:00,4/14/20 8:00
22466202,12/20/19,1/12/20,313461,4/11/20 8:00,4/14/20 8:00
22466203,12/20/19,1/12/20,313474,4/11/20 8:00,4/14/20 8:00
22466204,12/20/19,1/12/20,313440,4/11/20 8:00,4/14/20 8:00
22466205,12/20/19,1/12/20,313436,4/11/20 8:00,4/14/20 8:00
22466206,12/20/19,1/12/20,313439,4/11/20 8:00,4/14/20 8:00
22466207,12/20/19,1/12/20,313462,4/11/20 8:00,4/14/20 8:00
22466208,12/20/19,1/12/20,313489,4/11/20 8:00,4/14/20 8:00
22466209,12/20/19,1/12/20,313490,4/11/20 8:00,4/14/20 8:00
22466210,12/20/19,1/12/20,313492,4/11/20 8:00,4/14/20 8:00
22466211,12/20/19,1/12/20,313478,4/11/20 8:00,4/14/20 8:00
22466212,12/20/19,1/12/20,313610,4/11/20 8:00,4/14/20 8:00
22466213,12/20/19,1/12/20,313448,4/11/20 8:00,4/14/20 8:00
22466214,12/20/19,1/12/20,313614,4/11/20 8:00,4/14/20 8:00
22466215,12/20/19,1/12/20,313449,4/11/20 8:00,4/14/20 8:00
22466216,12/20/19,1/12/20,313617,4/11/20 8:00,4/14/20 8:00
22466217,12/20/19,1/12/20,313447,4/11/20 8:00,4/14/20 8:00
22466218,12/20/19,1/12/20,313612,4/11/20 8:00,4/14/20 8:00
22466219,12/20/19,1/12/20,313615,4/11/20 8:00,4/14/20 8:00
22466220,12/20/19,1/12/20,313618,4/11/20 8:00,4/14/20 8:00
22466221,12/20/19,1/12/20,313616,4/11/20 8:00,4/14/20 8:00
22466222,12/20/19,1/12/20,313613,4/11/20 8:00,4/14/20 8:00
22466223,12/20/19,1/12/20,313619,4/11/20 8:00,4/14/20 8:00
22466224,12/20/19,1/12/20,313446,4/11/20 8:00,4/14/20 8:00
22466225,12/20/19,1/12/20,313624,4/11/20 8:00,4/14/20 8:00
22466226,12/20/19,1/12/20,313457,4/11/20 8:00,4/14/20 8:00
22466227,12/20/19,1/12/20,313646,4/11/20 8:00,4/14/20 8:00
22466228,12/20/19,1/12/20,313650,4/11/20 8:00,4/14/20 8:00
22466229,12/20/19,1/12/20,313652,4/11/20 8:00,4/14/20 8:00
22466230,12/20/19,1/12/20,313455,4/11/20 8:00,4/14/20 8:00
22466232,12/20/19,1/12/20,313458,4/11/20 8:00,4/14/20 8:00
22466233,12/20/19,1/12/20,313456,4/11/20 8:00,4/14/20 8:00
22466234,12/20/19,1/12/20,313656,4/11/20 8:00,4/14/20 8:00
22466235,12/20/19,1/12/20,313450,4/11/20 8:00,4/14/20 8:00
22466236,12/20/19,1/12/20,313451,4/11/20 8:00,4/14/20 8:00
22466237,12/20/19,1/12/20,313453,4/11/20 8:00,4/14/20 8:00
22466238,12/20/19,1/12/20,313658,4/11/20 8:00,4/14/20 8:00
22466240,12/20/19,1/12/20,313452,4/11/20 8:00,4/14/20 8:00
22466241,12/20/19,1/12/20,313454,4/11/20 8:00,4/14/20 8:00
22466242,12/20/19,1/12/20,313660,4/11/20 8:00,4/14/20 8:00
22466243,12/20/19,1/12/20,313463,4/11/20 8:00,4/14/20 8:00
22466244,12/20/19,1/12/20,313623,4/11/20 8:00,4/14/20 8:00
22466245,12/20/19,1/12/20,313622,4/11/20 8:00,4/14/20 8:00
22466246,12/20/19,1/12/20,313621,4/11/20 8:00,4/14/20 8:00
22466247,12/20/19,1/12/20,313620,4/11/20 8:00,4/14/20 8:00
22466248,12/20/19,1/12/20,313632,4/11/20 8:00,4/14/20 8:00
22466250,12/20/19,1/12/20,313631,4/11/20 8:00,4/14/20 8:00
22466251,12/20/19,1/12/20,313627,4/11/20 8:00,4/14/20 8:00
22466252,12/20/19,1/12/20,313633,4/11/20 8:00,4/14/20 8:00
22466253,12/20/19,1/12/20,313630,4/11/20 8:00,4/14/20 8:00
22466254,12/20/19,1/12/20,314111,4/11/20 8:00,4/14/20 8:00
22466255,12/20/19,1/12/20,313654,4/11/20 8:00,4/14/20 8:00
22466256,12/20/19,1/12/20,313651,4/11/20 8:00,4/14/20 8:00
22466257,12/20/19,1/12/20,313642,4/11/20 8:00,4/14/20 8:00
22466258,12/20/19,1/12/20,313647,4/11/20 8:00,4/14/20 8:00
22466259,12/20/19,1/12/20,313645,4/11/20 8:00,4/14/20 8:00
22466260,12/20/19,1/12/20,313643,4/11/20 8:00,4/14/20 8:00
22466262,12/20/19,1/12/20,313644,4/11/20 8:00,4/14/20 8:00
22466263,12/20/19,1/12/20,313466,4/11/20 8:00,4/14/20 8:00
22466264,12/20/19,1/12/20,313465,4/11/20 8:00,4/14/20 8:00
22466265,12/20/19,1/12/20,313467,4/11/20 8:00,4/14/20 8:00
22466266,12/20/19,1/12/20,313626,4/11/20 8:00,4/14/20 8:00
22466268,12/20/19,1/12/20,313628,4/11/20 8:00,4/14/20 8:00
22466269,12/20/19,1/12/20,313629,4/11/20 8:00,4/14/20 8:00
22466271,12/20/19,1/12/20,313634,4/11/20 8:00,4/14/20 8:00
22466272,12/20/19,1/12/20,313636,4/11/20 8:00,4/14/20 8:00
22466274,12/20/19,1/12/20,313637,4/11/20 8:00,4/14/20 8:00
22466275,12/20/19,1/12/20,313638,4/11/20 8:00,4/14/20 8:00
22466276,12/20/19,1/12/20,313639,4/11/20 8:00,4/14/20 8:00
22466277,12/20/19,1/12/20,313640,4/11/20 8:00,4/14/20 8:00
22466278,12/20/19,1/12/20,313641,4/11/20 8:00,4/14/20 8:00
22466279,12/20/19,1/12/20,313648,4/11/20 8:00,4/14/20 8:00
22466280,12/20/19,1/12/20,313649,4/11/20 8:00,4/14/20 8:00
22466281,12/20/19,1/12/20,313653,4/11/20 8:00,4/14/20 8:00
22466282,12/20/19,1/12/20,313655,4/11/20 8:00,4/14/20 8:00
