PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22477563,10/3/19,10/10/19,312753,1/8/20 8:00,1/11/20 8:00
22476117,12/30/19,1/10/20,313347,4/9/20 8:00,4/12/20 8:00
22472901,1/6/20,1/17/20,313348,4/16/20 8:00,4/19/20 8:00
22474732,1/6/20,1/17/20,313349,4/16/20 8:00,4/19/20 8:00
22474735,1/6/20,1/17/20,313351,4/16/20 8:00,4/19/20 8:00
22474738,1/6/20,1/17/20,313352,4/16/20 8:00,4/19/20 8:00
22477576,1/6/20,1/17/20,313354,4/16/20 8:00,4/19/20 8:00
22472894,2/10/20,2/21/20,313355,5/21/20 8:00,5/24/20 8:00
22474730,2/10/20,2/21/20,313356,5/21/20 8:00,5/24/20 8:00
22474733,2/10/20,2/21/20,313357,5/21/20 8:00,5/24/20 8:00
22474739,2/10/20,2/21/20,313358,5/21/20 8:00,5/24/20 8:00
22477581,2/10/20,2/21/20,313359,5/21/20 8:00,5/24/20 8:00
22472895,3/16/20,3/27/20,313360,6/25/20 8:00,6/28/20 8:00
22474731,3/16/20,3/27/20,313361,6/25/20 8:00,6/28/20 8:00
22474734,3/16/20,3/27/20,313362,6/25/20 8:00,6/28/20 8:00
22474740,3/16/20,3/27/20,313363,6/25/20 8:00,6/28/20 8:00
22477582,3/16/20,3/27/20,313364,6/25/20 8:00,6/28/20 8:00
22466103,12/20/19,1/12/20,313365,4/11/20 8:00,4/14/20 8:00
22466173,12/20/19,1/12/20,313366,4/11/20 8:00,4/14/20 8:00
22466170,12/20/19,1/12/20,313343,4/11/20 8:00,4/14/20 8:00
